text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
Congrats to the #USWNT! Can't wait for the finals. You make us all proud!,25184,10659,Wed Jul 01 01:35:17 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616057454430957572
Hello from Nashville! I'll be answering your questions on health care and the Affordable Care Act at 3:30pm ET. Tweet yours using #AskPOTUS.,2760,1135,Wed Jul 01 18:22:54 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616311028847112192
"Alright, let's do this. Ready to answer your health care questions. Keep 'em coming with #AskPOTUS. http://t.co/wK8RDF2H0i",7220,2253,Wed Jul 01 19:55:12 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616334258697859073
we need to encourage states to take advantage of medicaid expansion; could insure 4 mil more people in 22 states! https://t.co/S9RlkVB1An,1665,781,Wed Jul 01 19:55:46 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616334401157378048
"not true - like last year, insurers request premium hikes, but must be approved; expect final increases to be less   https://t.co/WfJI2AOLkP",1207,514,Wed Jul 01 19:59:32 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616335347174232064
congratulations! hope you guys are getting sleep. nothing beats babies! https://t.co/ymGM0HARad,4116,762,Wed Jul 01 20:00:55 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616335694928199680
now's time to encourage states that held off for political reasons to do the right thing; contact state officials! https://t.co/QqUY3S9MoC,1356,588,Wed Jul 01 20:02:53 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616336192443916289
EX-IM bank helps US companies export; that means good paying american jobs. optimistic that congress gets it done. https://t.co/UeBhgiL64B,813,351,Wed Jul 01 20:05:05 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616336742854078464
"have principles and issues you are passionate about, and act; worry more about doing something than being something. https://t.co/QqbgflhXDY",7753,3992,Wed Jul 01 20:06:28 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616337090767405056
there's a hardship exemption; fine only applies to folks who can afford insurance but choose not to. https://t.co/XWFEKbZCaT,2691,1167,Wed Jul 01 20:08:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616337692582899712
was listening to outkast/liberation and the black keys/lonely boy this morning. https://t.co/1DP6CRdwlm,38683,24978,Wed Jul 01 20:10:09 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616338019843461121
"respect the nyt, but not buying peas in guac. onions, garlic, hot peppers. classic. https://t.co/MEEI8QHH1V",21831,15998,Wed Jul 01 20:12:10 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616338528138608640
